ID;Nombre;Precio en $;Precio en Bs;Precio $ BCV;Inventario;Costos
84;Bombillo - blanco - Smartcharte;2,00;154;2,26;18;43,03
85;Bombillo - blanco -Hugme- con cable de carga- emergencia 20W;3,00;231;3,40;6;20,38
86;Bombillos de 60w;3,80;293;4,30;6;25,82
87;Bombillos de 80w;5,10;393;5,78;5;28,88
88;Bombones Bell;0,13;10;0,15;;0,00
89;Borra o borrador grande;0,54;42;0,61;24;14,68
90;Borra o borrador pequeño;0,30;23;0,34;;0,00
91;Borrador de pizarra magnético;2,00;154;2,26;6;13,59
92;Botellones 20 litros;6,00;462;6,79;5;33,97
93;Brillo labial Lip Gloss, wow, piña;0,53;41;0,60;49;29,41
94;Brillo para uñas;0,90;69;1,02;24;24,46
95;Brocha para rubor - grande;2,50;193;2,83
96;Brocha para rubor - pequeña;1,50;116;1,70;3;5,10
97;Builder gel - ibd;3,60;277;4,08
98;Cable cargador 400;1,20;92;1,36
99;Cable HDMI;4,00;308;4,53;5;22,65
100;Cable para internet Cat5e para exteriores;0,44;33;0,49
101;Cable USB tipo C ;1,79;138;2,03;6;12,16
102;Café 100 gr  Montaña;1,30;100;1,47;47;69,19
103;Café 100 gr Amanecer;1,40;108;1,59;56;88,78
104;Café 100 gr Madrid - Fama de América;1,27;98;1,44;26;37,39
105;Café 200 gr Amanecer;0,00;0;0,00;;0,00
106;Café 200 gr FAMA DE AMÉRICA;2,40;185;2,72;16;43,48
107;Café 200 gr Montaña;3,00;231;3,40;10;33,97
108;Café 250 gr Amanecer Gormet;;0;0,00;;0,00
109;Café 250 gr Café FAMA DE AMÉRICA;3,00;231;3,40
110;Café 250 gr Café MADRID;2,76;213;3,13;10;31,25
111;Caja de colores bicolor - variados;3,00;231;3,40;;0,00
112;Caja de colores KORES (12 und);3,41;263;3,86;7;27,03
113;Caja de colores KORES 24 UND;6,20;477;7,02;2;14,04
114;Caja de Colores New Élite - Lápices colores;2,00;154;2,26;2;4,53
115;Caja de colores Paper Mate ;3,20;246;3,62;3;10,87
116;Caja de Colores Prismacolor;4,50;347;5,10;;0,00
117;Caja de colores STUMARK;2,70;208;3,06;5;15,29
118;Caja de grapas lisas - corrugadas;3,00;231;3,40;3;10,19
119;Candados;1,50;116;1,70;11;18,68
120;Canela en palo;0,28;21;0,31;60;18,82
